DATE,DGS5,DGS10,DFII5,
7/2/2021,-0.89,0.86,1.44,-1.63
7/5/2021,.,.,.,.
7/6/2021,-0.94,0.81,1.37,-1.67
7/7/2021,-0.95,0.79,1.33,-1.64
7/8/2021,-0.92,0.74,1.3,-1.64
7/9/2021,-0.91,0.79,1.37,-1.65
7/12/2021,-0.95,0.81,1.38,-1.67
7/13/2021,-0.94,0.85,1.42,-1.71
7/14/2021,-0.97,0.8,1.37,-1.73
7/15/2021,-1.01,0.78,1.31,-1.75
7/16/2021,-1.02,0.79,1.31,-1.73
7/19/2021,-1.05,0.7,1.19,-1.71
7/20/2021,-1.03,0.69,1.23,-1.71
7/21/2021,-0.98,0.74,1.3,-1.71
7/22/2021,-1.01,0.71,1.27,-1.75
7/23/2021,-1.05,0.72,1.3,-1.81
7/26/2021,-1.11,0.73,1.29,-1.86
7/27/2021,-1.13,0.71,1.25,-1.84
7/28/2021,-1.15,0.72,1.26,-1.85
7/29/2021,-1.15,0.73,1.28,-1.85
7/30/2021,-1.16,0.69,1.24,-1.87
8/2/2021,-1.17,0.66,1.2,-1.85
8/3/2021,-1.19,0.65,1.19,-1.86
8/4/2021,-1.16,0.67,1.19,-1.83
8/5/2021,-1.1,0.72,1.23,-1.74
8/6/2021,-1.06,0.77,1.31,-1.73
8/9/2021,-1.04,0.79,1.33,-1.71
8/10/2021,-1.04,0.82,1.36,-1.71
8/11/2021,-1.07,0.81,1.35,-1.74
8/12/2021,-1.05,0.83,1.36,-1.72
8/13/2021,-1.08,0.79,1.29,-1.73
8/16/2021,-1.1,0.75,1.26,-1.75
8/17/2021,-1.07,0.77,1.26,-1.72
8/18/2021,-1.05,0.79,1.27,-1.69
8/19/2021,-1.04,0.78,1.24,-1.67
8/20/2021,-1.01,0.8,1.26,-1.6
8/23/2021,-1.02,0.78,1.25,-1.65
8/24/2021,-1.01,0.8,1.29,-1.65
8/25/2021,-1,0.84,1.35,-1.67
8/26/2021,-0.99,0.84,1.34,-1.66
8/27/2021,-1.08,0.79,1.31,-1.74
8/30/2021,-1.08,0.77,1.29,-1.74
8/31/2021,-1.03,0.77,1.3,-1.71
9/1/2021,-1.03,0.78,1.31,-1.7
9/2/2021,-1.03,0.78,1.29,-1.69
9/3/2021,-1.01,0.78,1.33,-1.7
9/6/2021,.,.,.,.
9/7/2021,-0.98,0.82,1.38,-1.69
9/8/2021,-1.03,0.81,1.35,-1.72
9/9/2021,-1.08,0.79,1.3,-1.76
9/10/2021,-1.05,0.82,1.35,-1.73
9/13/2021,-1.04,0.81,1.33,-1.72
9/14/2021,-1.05,0.79,1.28,-1.7
9/15/2021,-1.04,0.81,1.31,-1.7
9/16/2021,-1.01,0.84,1.34,-1.69
9/17/2021,-0.96,0.88,1.37,-1.63
9/20/2021,-0.98,0.83,1.31,-1.6
9/21/2021,-0.96,0.84,1.33,-1.6
9/22/2021,-0.96,0.86,1.32,-1.55
9/23/2021,-0.9,0.94,1.41,-1.54
